id,session_id,map_id,node_id,date_stamp
10.100.20.26,246,74,1,3,1410995753
10.100.20.26,247,73,1,63,1410995813
10.100.20.26,248,73,1,64,1410995904
10.100.20.26,249,73,1,65,1410995922
10.100.20.26,250,73,1,66,1410995934
10.100.20.26,251,73,1,65,1410995945
10.100.20.26,252,73,1,67,1410995948
10.100.20.26,253,73,1,35,1410995953
10.100.20.26,254,73,1,37,1410995961
10.100.20.26,255,73,1,68,1410995991
10.100.20.26,256,73,1,70,1410996002
10.100.20.26,257,73,1,71,1410996039
10.100.20.26,258,73,1,73,1410996064
10.100.20.26,259,73,1,71,1410996071
10.100.20.26,260,73,1,72,1410996075
10.100.20.26,261,73,1,75,1410996113
10.100.20.26,262,73,1,77,1410996128
10.100.20.26,263,73,1,78,1410996275
10.100.20.26,264,73,1,79,1410996289
10.100.20.26,265,73,1,78,1410996301
10.100.20.26,266,73,1,80,1410996303
10.100.20.26,267,73,1,81,1410996336
10.100.20.26,268,73,1,83,1410996346
10.100.20.26,269,75,1,3,1411033836
10.100.20.26,270,75,1,4,1411033851
10.100.20.26,271,75,1,5,1411033872
10.100.20.26,272,75,1,6,1411033877
10.100.20.26,273,76,1,3,1411035698
10.100.20.26,274,76,1,3,1411035704
10.100.20.26,275,76,1,4,1411035706
10.100.20.26,276,77,1,3,1411038184
10.100.20.26,277,78,1,3,1411042008
10.100.20.26,278,79,1,3,1411046153
10.100.20.26,279,79,1,4,1411046184
10.100.20.26,280,79,1,5,1411046428
10.100.20.26,281,79,1,6,1411046495
10.100.20.26,282,79,1,10,1411046517
10.100.20.26,283,79,1,12,1411046677
10.100.20.26,284,79,1,42,1411046710
10.100.20.26,285,79,1,24,1411046734
10.100.20.26,286,79,1,45,1411047016
10.100.20.26,287,79,1,26,1411047029
10.100.20.26,288,79,1,46,1411047277
10.100.20.26,289,79,1,28,1411047287
10.100.20.26,290,79,1,29,1411047689
10.100.20.26,291,79,1,30,1411047698
10.100.20.26,292,79,1,31,1411047889
10.100.20.26,293,79,1,32,1411047997
10.100.20.26,294,79,1,33,1411048008
10.100.20.26,295,79,1,34,1411048085
10.100.20.26,296,79,1,35,1411048123
10.100.20.26,297,79,1,37,1411048142
10.100.20.26,298,79,1,68,1411048171
10.100.20.26,299,79,1,70,1411048186
10.100.20.26,300,79,1,71,1411048189
10.100.20.26,301,79,1,73,1411048228
10.100.20.26,302,79,1,71,1411048238
10.100.20.26,303,79,1,72,1411048242
10.100.20.26,304,79,1,75,1411048278
10.100.20.26,305,79,1,77,1411048302
10.100.20.26,306,79,1,78,1411048449
10.100.20.26,307,79,1,79,1411048465
10.100.20.26,308,79,1,78,1411048471
10.100.20.26,309,79,1,80,1411048472
10.100.20.26,310,79,1,81,1411048504
10.100.20.26,311,79,1,83,1411048514
10.100.20.26,312,80,1,3,1411050495
10.100.20.26,313,80,1,4,1411050557
10.100.20.26,314,80,1,5,1411050812
10.100.20.26,315,80,1,6,1411051379
10.100.20.26,316,80,1,10,1411051496
10.100.20.26,317,80,1,12,1411051669
10.100.20.26,318,80,1,42,1411051741
10.100.20.26,319,80,1,24,1411051778
10.100.20.26,320,80,1,45,1411052070
10.100.20.26,321,80,1,26,1411052121
10.100.20.26,322,80,1,46,1411052382
10.100.20.26,323,80,1,28,1411052460
10.100.20.26,324,80,1,29,1411053245
10.100.20.26,325,80,1,30,1411053258
10.100.20.26,326,80,1,31,1411054020
10.100.20.26,327,81,1,3,1411054087
10.100.20.26,328,80,1,32,1411054789
10.100.20.26,329,80,1,33,1411054824
10.100.20.26,330,80,1,34,1411055054
10.100.20.26,331,80,1,35,1411055115
10.100.20.26,332,80,1,36,1411055257
10.100.20.26,333,80,1,38,1411055318
10.100.20.26,334,80,1,48,1411055336
10.100.20.26,335,80,1,38,1411055354
10.100.20.26,336,80,1,49,1411055365
10.100.20.26,337,80,1,53,1411055377
10.100.20.26,338,80,1,50,1411055588
10.100.20.26,339,80,1,51,1411055603
10.100.20.26,340,80,1,54,1411055721
10.100.20.26,341,80,1,55,1411055817
10.100.20.26,342,80,1,56,1411055861
10.100.20.26,343,82,1,3,1411056327
10.100.20.26,344,83,1,3,1411056516
10.100.20.26,345,83,1,4,1411056529
10.100.20.26,346,83,1,5,1411056538
10.100.20.26,347,83,1,6,1411056600
10.100.20.26,348,83,1,10,1411056614
10.100.20.26,349,83,1,12,1411056620
10.100.20.26,350,83,1,42,1411056627
10.100.20.26,351,83,1,24,1411056639
10.100.20.26,352,83,1,45,1411056653
10.100.20.26,353,83,1,25,1411056683
10.100.20.26,354,83,1,45,1411056692
10.100.20.26,355,83,1,26,1411056697
10.100.20.26,356,83,1,46,1411056708
10.100.20.26,357,83,1,28,1411056713
10.100.20.26,358,83,1,29,1411056718
10.100.20.26,359,83,1,30,1411056725
10.100.20.26,360,83,1,31,1411056736
10.100.20.26,361,83,1,32,1411056955
10.100.20.26,362,83,1,33,1411056964
10.100.20.26,363,83,1,34,1411057145
10.100.20.26,364,83,1,35,1411057152
10.100.20.26,365,83,1,36,1411057157
10.100.20.26,366,83,1,38,1411057574
10.100.20.26,367,84,1,3,1411057763
10.100.20.26,368,84,1,4,1411057777
10.100.20.26,369,84,1,5,1411057790
10.100.20.26,370,84,1,6,1411057837
10.100.20.26,371,84,1,10,1411057842
10.100.20.26,372,84,1,12,1411057850
10.100.20.26,373,84,1,42,1411057854
10.100.20.26,374,84,1,24,1411057863
10.100.20.26,375,84,1,45,1411057876
10.100.20.26,376,84,1,26,1411057883
10.100.20.26,377,84,1,46,1411057893
10.100.20.26,378,84,1,28,1411057897
10.100.20.26,379,84,1,29,1411057908
